Bundesland;BLZ;Name;Adresse ;PLZ;Ort;FN;Info;coordinates;Latitude;Longitude
KTN;39411;Raiffeisenbank Moosburg-Tigring, registrierte Genossenschaft mit beschränkter Haftung;Klagenfurterstraße 5;9062;Moosburg;113054g;;(46.6582134, 14.1743699);46.6582134;14.1743699
KTN;39412;Raiffeisen Bank Lurnfeld-Mölltal eGen;Hauptstraße 23;9813;Möllbrücke;113153b;;(46.8344658, 13.370386);46.8344658;13.370386
KTN;39442;Raiffeisenbank Drautal registrierte Genossenschaft mit beschränkter Haftung;Villacher Straße 74;9710;Feistritz an der Drau;118739t;;(46.7017646, 13.6635407);46.7017646;13.6635407
KTN;39457;Raiffeisenbank Nockberge eGen;Hauptstraße 41;9545;Radenthein;111072t;;(46.8005905, 13.7038756);46.8005905;13.7038756
KTN;39464;Raiffeisenbank Lieser-Maltatal eG;Rennweg 6;9863;Rennweg ;113120d;;(47.0173035, 13.612727);47.0173035;13.612727
KTN;39475;Raiffeisen-Bezirksbank St. Veit a.d. Glan-Feldkirchen, registrierte Genossenschaft mit beschränkter Haftung;Oktoberplatz 1, Postfach 9;9300;St. Veit an der Glan;110981h;;(46.7658066, 14.3561075);46.7658066;14.3561075
KTN;39479;Raiffeisenbank Millstättersee eG;Hauptstraße 82, Postfach 7;9871;Seeboden;119553p;;(46.8183536, 13.5180955);46.8183536;13.5180955
KTN;39481;Raiffeisenbank Mittleres Lavanttal eGen;St. Andrä 76;9433;St. Andrä im Lavanttal;112041t;;(46.766517, 14.82309);46.766517;14.82309
KTN;39487;Raiffeisenbank Rosental, registrierte Genossenschaft mit beschränkter Haftung;Feistritz 126;9181;Feistritz im Rosental ;113139g;;(46.522788, 14.168826);46.522788;14.168826
KTN;39491;Raiffeisenbank Oberes Lavanttal registrierte Genossenschaft mit beschränkter Haftung;Hauptplatz 18, Postfach 19;9462;Bad St. Leonhard im Lavanttal;113717g;;(46.9632423, 14.7927096);46.9632423;14.7927096
KTN;39496;Raiffeisen Bank Villach registrierte Genossenschaft mit beschränkter Haftung;Nikolaigasse 4, Postfach 32;9500;Villach;119565g;;(46.6154828, 13.8491285);46.6154828;13.8491285
KTN;39500;Raiffeisenbank St. Paul im Lavanttal mit Zweiganstalten Maria Rojach und St. Georgen, registrierte Genossenschaft mit beschränkter Haftung;Hauptstraße 26;9470;St. Paul im Lavanttal;110964h;;(46.7033911, 14.8690234);46.7033911;14.8690234
KTN;39501;Raiffeisenbank Friesach-Metnitztal, registrierte Genossenschaft mit beschränkter Haftung;Hauptplatz 13;9360;Friesach;119487t;;(46.950811, 14.4048069);46.950811;14.4048069
KTN;39510;Raiffeisenbank Ossiacher See, registrierte Genossenschaft mit beschränkter Haftung;10.-Oktober-Straße 2, Postfach 12;9551;Bodensdorf;119482i;;(46.6854192, 13.9741813);46.6854192;13.9741813
KTN;39511;Raiffeisenbank Gurktal, registrierte Genossenschaft mit beschränkter Haftung;Hauptplatz 5;9341;Straßburg;113111s;;(47.836762, 15.840216);47.836762;15.840216
KTN;39543;Raiffeisenbank Hermagor, registrierte Genossenschaft mit beschränkter Haftung;Gasserplatz 4;9620;Hermagor;112962x;;(46.6273904, 13.370763);46.6273904;13.370763
KTN;39546;Raiffeisenbank Völkermarkt, registrierte Genossenschaft mit beschränkter Haftung;Hauptplatz 12, Postfach 8;9100;Völkermarkt;116028f;;(46.6590431, 14.6343007);46.6590431;14.6343007
KTN;39559;Raiffeisenbank Wernberg, registrierte Genossenschaft mit beschränkter Haftung;Bundesstraße 15;9241;Wernberg;112912y;;(46.623164, 13.9394182);46.623164;13.9394182
KTN;39561;Raiffeisenbank Oberes Mölltal-Oberdrauburg eGen;Winklern 37, Postfach 12;9841;Winklern;113124i;;(46.8704422, 12.8773382);46.8704422;12.8773382
sonstige;54000;Oberösterreichische Landesbank Aktiengesellschaft (Hypo Oberösterreich);Landstraße 38;4010;Linz;157656y;xs2a access under domain hypo.at;(48.3012479, 14.2901072);48.3012479;14.2901072
